Time [s], Analyzer Name, Decoded Protocol Result
0.000123360000000,USB LS and FS,SYNC
0.000124000000000,USB LS and FS,PID SOF
0.000124680000000,USB LS and FS,Frame # 0x4CD
0.000125600000000,USB LS and FS,CRC OK 0x1D
0.000126040000000,USB LS and FS,EOP
0.001123360000000,USB LS and FS,SYNC
0.001124040000000,USB LS and FS,PID SOF
0.001124720000000,USB LS and FS,Frame # 0x4CE
0.001125600000000,USB LS and FS,CRC OK 0x15
0.001126040000000,USB LS and FS,EOP
0.002123440000000,USB LS and FS,SYNC
0.002124120000000,USB LS and FS,PID SOF
0.002124760000000,USB LS and FS,Frame # 0x4CF
0.002125680000000,USB LS and FS,CRC OK 0x0A
0.002126120000000,USB LS and FS,EOP
0.003123480000000,USB LS and FS,SYNC
0.003124160000000,USB LS and FS,PID SOF
0.003124840000000,USB LS and FS,Frame # 0x4D0
0.003125720000000,USB LS and FS,CRC OK 0x17
0.003126160000000,USB LS and FS,EOP
0.004123520000000,USB LS and FS,SYNC
0.004124200000000,USB LS and FS,PID SOF
0.004124840000000,USB LS and FS,Frame # 0x4D1
0.004125760000000,USB LS and FS,CRC OK 0x08
0.004126200000000,USB LS and FS,EOP
0.005123560000000,USB LS and FS,SYNC
0.005124240000000,USB LS and FS,PID SOF
0.005124920000000,USB LS and FS,Frame # 0x4D2
0.005125840000000,USB LS and FS,CRC OK 0x00
0.005126240000000,USB LS and FS,EOP
0.006123640000000,USB LS and FS,SYNC
0.006124280000000,USB LS and FS,PID SOF
0.006124960000000,USB LS and FS,Frame # 0x4D3
0.006125880000000,USB LS and FS,CRC OK 0x1F
0.006126400000000,USB LS and FS,EOP
0.007123680000000,USB LS and FS,SYNC
0.007124320000000,USB LS and FS,PID SOF
0.007125000000000,USB LS and FS,Frame # 0x4D4
0.007125920000000,USB LS and FS,CRC OK 0x10
0.007126360000000,USB LS and FS,EOP
0.008123720000000,USB LS and FS,SYNC
0.008124360000000,USB LS and FS,PID SOF
0.008125040000000,USB LS and FS,Frame # 0x4D5
0.008125960000000,USB LS and FS,CRC OK 0x0F
0.008126400000000,USB LS and FS,EOP
0.009123760000000,USB LS and FS,SYNC
0.009124400000000,USB LS and FS,PID SOF
0.009125080000000,USB LS and FS,Frame # 0x4D6
0.009126000000000,USB LS and FS,CRC OK 0x07
0.009126440000000,USB LS and FS,EOP
0.010123800000000,USB LS and FS,SYNC
0.010124480000000,USB LS and FS,PID SOF
0.010125120000000,USB LS and FS,Frame # 0x4D7
0.010126080000000,USB LS and FS,CRC OK 0x18
0.010126480000000,USB LS and FS,EOP
0.011123840000000,USB LS and FS,SYNC
0.011124520000000,USB LS and FS,PID SOF
0.011125200000000,USB LS and FS,Frame # 0x4D8
0.011126080000000,USB LS and FS,CRC OK 0x19
0.011126520000000,USB LS and FS,EOP
0.012123880000000,USB LS and FS,SYNC
0.012124560000000,USB LS and FS,PID SOF
0.012125240000000,USB LS and FS,Frame # 0x4D9
0.012126160000000,USB LS and FS,CRC OK 0x06
0.012126560000000,USB LS and FS,EOP
0.013123920000000,USB LS and FS,SYNC
0.013124600000000,USB LS and FS,PID SOF
0.013125280000000,USB LS and FS,Frame # 0x4DA
