Time [s], Analyzer Name, Decoded Protocol Result
0.000000000000000,USB LS and FS,Reset
5.127477800000000,USB LS and FS,Reset
5.142820960000000,USB LS and FS,SYNC
5.142821640000000,USB LS and FS,PID SOF
5.142822280000000,USB LS and FS,Frame # '611' (0x263)
5.142823200000000,USB LS and FS,CRC OK '26' (0x1A)
5.142823640000000,USB LS and FS,EOP
5.143821040000000,USB LS and FS,SYNC
5.143821680000000,USB LS and FS,PID SOF
5.143822360000000,USB LS and FS,Frame # '612' (0x264)
5.143823280000000,USB LS and FS,CRC OK '21' (0x15)
5.143823680000000,USB LS and FS,EOP
5.144821080000000,USB LS and FS,SYNC
5.144821760000000,USB LS and FS,PID SOF
5.144822400000000,USB LS and FS,Frame # '613' (0x265)
5.144823320000000,USB LS and FS,CRC OK \n (0x0A)
5.144823760000000,USB LS and FS,EOP
5.145821120000000,USB LS and FS,SYNC
5.145821800000000,USB LS and FS,PID SOF
5.145822440000000,USB LS and FS,Frame # '614' (0x266)
5.145823360000000,USB LS and FS,CRC OK '2' (0x02)
5.145823800000000,USB LS and FS,EOP
5.146821160000000,USB LS and FS,SYNC
5.146821840000000,USB LS and FS,PID SOF
5.146822480000000,USB LS and FS,Frame # '615' (0x267)
5.146823400000000,USB LS and FS,CRC OK '29' (0x1D)
5.146823840000000,USB LS and FS,EOP
5.147821200000000,USB LS and FS,SYNC
5.147821880000000,USB LS and FS,PID SOF
5.147822520000000,USB LS and FS,Frame # '616' (0x268)
5.147823440000000,USB LS and FS,CRC OK '28' (0x1C)
5.147823880000000,USB LS and FS,EOP
5.148821280000000,USB LS and FS,SYNC
5.148821920000000,USB LS and FS,PID SOF
5.148822600000000,USB LS and FS,Frame # '617' (0x269)
5.148823520000000,USB LS and FS,CRC OK '3' (0x03)
5.148823920000000,USB LS and FS,EOP
5.149821320000000,USB LS and FS,SYNC
5.149821960000000,USB LS and FS,PID SOF
5.149822640000000,USB LS and FS,Frame # '618' (0x26A)
5.149823560000000,USB LS and FS,CRC OK '11' (0x0B)
5.149823960000000,USB LS and FS,EOP
5.150821360000000,USB LS and FS,SYNC
5.150822000000000,USB LS and FS,PID SOF
5.150822680000000,USB LS and FS,Frame # '619' (0x26B)
5.150823600000000,USB LS and FS,CRC OK '20' (0x14)
5.150824000000000,USB LS and FS,EOP
5.151821400000000,USB LS and FS,SYNC
5.151822040000000,USB LS and FS,PID SOF
5.151822720000000,USB LS and FS,Frame # '620' (0x26C)
5.151823640000000,USB LS and FS,CRC OK '27' (0x1B)
5.151824080000000,USB LS and FS,EOP
5.152821440000000,USB LS and FS,SYNC
5.152822120000000,USB LS and FS,PID SOF
5.152822760000000,USB LS and FS,Frame # '621' (0x26D)
5.152823680000000,USB LS and FS,CRC OK '4' (0x04)
5.152824120000000,USB LS and FS,EOP
5.153821480000000,USB LS and FS,SYNC
5.153822160000000,USB LS and FS,PID SOF
5.153822840000000,USB LS and FS,Frame # '622' (0x26E)
5.153823720000000,USB LS and FS,CRC OK '12' (0x0C)
5.153824160000000,USB LS and FS,EOP
5.154821520000000,USB LS and FS,SYNC
5.154822200000000,USB LS and FS,PID SOF
5.154822840000000,USB LS and FS,Frame # '623' (0x26F)
5.154823760000000,USB LS and FS,CRC OK '19' (0x13)
5.154824200000000,USB LS and FS,EOP
5.155821560000000,USB LS and FS,SYNC
5.155822240000000,USB LS and FS,PID SOF
5.155822920000000,USB LS and FS,Frame # '624' (0x270)
5.155823840000000,USB LS and FS,CRC OK '14' (0x0E)
5.155824240000000,USB LS and FS,EOP
5.156821640000000,USB LS and FS,SYNC
5.156822280000000,USB LS and FS,PID SOF
5.156822960000000,USB LS and FS,Frame # '625' (0x271)
5.156823880000000,USB LS and FS,CRC OK '17' (0x11)
5.156824320000000,USB LS and FS,EOP
5.157821680000000,USB LS and FS,SYNC
5.157822320000000,USB LS and FS,PID SOF
5.157823000000000,USB LS and FS,Frame # '626' (0x272)
5.157823920000000,USB LS and FS,CRC OK '25' (0x19)
5.157824360000000,USB LS and FS,EOP
5.158821720000000,USB LS and FS,SYNC
5.158822360000000,USB LS and FS,PID SOF
5.158823040000000,USB LS and FS,Frame # '627' (0x273)
5.158823960000000,USB LS and FS,CRC OK '6' (0x06)
5.158824400000000,USB LS and FS,EOP
5.159821760000000,USB LS and FS,SYNC
5.159822400000000,USB LS and FS,PID SOF
5.159823080000000,USB LS and FS,Frame # '628' (0x274)
5.159824000000000,USB LS and FS,CRC OK \t (0x09)
5.159824440000000,USB LS and FS,EOP
5.160821840000000,USB LS and FS,SYNC
5.160822480000000,USB LS and FS,PID SOF
5.160823160000000,USB LS and FS,Frame # '629' (0x275)
5.160824080000000,USB LS and FS,CRC OK '22' (0x16)
5.160824520000000,USB LS and FS,EOP
5.161821840000000,USB LS and FS,SYNC
5.161822520000000,USB LS and FS,PID SOF
5.161823200000000,USB LS and FS,Frame # '630' (0x276)
5.161824120000000,USB LS and FS,CRC OK '30' (0x1E)
5.161824520000000,USB LS and FS,EOP
5.162821880000000,USB LS and FS,SYNC
5.162822560000000,USB LS and FS,PID SOF
5.162823240000000,USB LS and FS,Frame # '631' (0x277)
5.162824160000000,USB LS and FS,CRC OK '1' (0x01)
5.162824560000000,USB LS and FS,EOP
5.163821920000000,USB LS and FS,SYNC
5.163822600000000,USB LS and FS,PID SOF
5.163823280000000,USB LS and FS,Frame # '632' (0x278)
5.163824200000000,USB LS and FS,CRC OK '0' (0x00)
5.163824600000000,USB LS and FS,EOP
5.164821960000000,USB LS and FS,SYNC
5.164822640000000,USB LS and FS,PID SOF
5.164823320000000,USB LS and FS,Frame # '633' (0x279)
5.164824240000000,USB LS and FS,CRC OK '31' (0x1F)
5.164824640000000,USB LS and FS,EOP
5.165822040000000,USB LS and FS,SYNC
5.165822680000000,USB LS and FS,PID SOF
5.165823360000000,USB LS and FS,Frame # '634' (0x27A)
5.165824280000000,USB LS and FS,CRC OK '23' (0x17)
5.165824720000000,USB LS and FS,EOP
5.166822080000000,USB LS and FS,SYNC
5.166822720000000,USB LS and FS,PID SOF
5.166823400000000,USB LS and FS,Frame # '635' (0x27B)
5.166824320000000,USB LS and FS,CRC OK '8' (0x08)
5.166824760000000,USB LS and FS,EOP
5.167822120000000,USB LS and FS,SYNC
5.167822800000000,USB LS and FS,PID SOF
5.167823440000000,USB LS and FS,Frame # '636' (0x27C)
5.167824360000000,USB LS and FS,CRC OK '7' (0x07)
5.167824800000000,USB LS and FS,EOP
5.168822160000000,USB LS and FS,SYNC
5.168822840000000,USB LS and FS,PID SOF
5.168823480000000,USB LS and FS,Frame # '637' (0x27D)
5.168824400000000,USB LS and FS,CRC OK '24' (0x18)
5.168824840000000,USB LS and FS,EOP
5.169822240000000,USB LS and FS,SYNC
5.169822880000000,USB LS and FS,PID SOF
5.169823560000000,USB LS and FS,Frame # '638' (0x27E)
5.169824560000000,USB LS and FS,CRC OK '16' (0x10)
5.169824960000000,USB LS and FS,EOP
5.170822280000000,USB LS and FS,SYNC
5.170822920000000,USB LS and FS,PID SOF
5.170823600000000,USB LS and FS,Frame # '639' (0x27F)
5.170824600000000,USB LS and FS,CRC OK '15' (0x0F)
5.170825000000000,USB LS and FS,EOP
5.171822320000000,USB LS and FS,SYNC
5.171822960000000,USB LS and FS,PID SOF
5.171823640000000,USB LS and FS,Frame # '640' (0x280)
5.171824560000000,USB LS and FS,CRC OK '30' (0x1E)
5.171824960000000,USB LS and FS,EOP
5.172822360000000,USB LS and FS,SYNC
5.172823000000000,USB LS and FS,PID SOF
5.172823680000000,USB LS and FS,Frame # '641' (0x281)
5.172824600000000,USB LS and FS,CRC OK '1' (0x01)
5.172825000000000,USB LS and FS,EOP
5.173822400000000,USB LS and FS,SYNC
5.173823080000000,USB LS and FS,PID SOF
5.173823720000000,USB LS and FS,Frame # '642' (0x282)
5.173824640000000,USB LS and FS,CRC OK \t (0x09)
5.173825080000000,USB LS and FS,EOP
5.174822440000000,USB LS and FS,SYNC
5.174823120000000,USB LS and FS,PID SOF
5.174823760000000,USB LS and FS,Frame # '643' (0x283)
5.174824680000000,USB LS and FS,CRC OK '22' (0x16)
5.174825120000000,USB LS and FS,EOP
5.175822480000000,USB LS and FS,SYNC
5.175823160000000,USB LS and FS,PID SOF
5.175823840000000,USB LS and FS,Frame # '644' (0x284)
5.175824720000000,USB LS and FS,CRC OK '25' (0x19)
5.175825160000000,USB LS and FS,EOP
5.176822520000000,USB LS and FS,SYNC
5.176823200000000,USB LS and FS,PID SOF
5.176823840000000,USB LS and FS,Frame # '645' (0x285)
5.176824800000000,USB LS and FS,CRC OK '6' (0x06)
5.176825200000000,USB LS and FS,EOP
5.177822600000000,USB LS and FS,SYNC
5.177823240000000,USB LS and FS,PID SOF
5.177823920000000,USB LS and FS,Frame # '646' (0x286)
5.177824840000000,USB LS and FS,CRC OK '14' (0x0E)
5.177825280000000,USB LS and FS,EOP
5.178822640000000,USB LS and FS,SYNC
5.178823280000000,USB LS and FS,PID SOF
5.178823960000000,USB LS and FS,Frame # '647' (0x287)
5.178824880000000,USB LS and FS,CRC OK '17' (0x11)
5.178825320000000,USB LS and FS,EOP
5.179822680000000,USB LS and FS,SYNC
5.179823320000000,USB LS and FS,PID SOF
5.179824000000000,USB LS and FS,Frame # '648' (0x288)
5.179824920000000,USB LS and FS,CRC OK '16' (0x10)
5.179825360000000,USB LS and FS,EOP
5.180822720000000,USB LS and FS,SYNC
5.180823360000000,USB LS and FS,PID SOF
5.180824040000000,USB LS and FS,Frame # '649' (0x289)
5.180824960000000,USB LS and FS,CRC OK '15' (0x0F)
5.180825400000000,USB LS and FS,EOP
5.181822800000000,USB LS and FS,SYNC
5.181823440000000,USB LS and FS,PID SOF
5.181824120000000,USB LS and FS,Frame # '650' (0x28A)
5.181825040000000,USB LS and FS,CRC OK '7' (0x07)
5.181825480000000,USB LS and FS,EOP
5.182822800000000,USB LS and FS,SYNC
5.182823480000000,USB LS and FS,PID SOF
5.182824120000000,USB LS and FS,Frame # '651' (0x28B)
5.182825080000000,USB LS and FS,CRC OK '24' (0x18)
5.182825480000000,USB LS and FS,EOP
5.183822840000000,USB LS and FS,SYNC
5.183823520000000,USB LS and FS,PID SOF
5.183824200000000,USB LS and FS,Frame # '652' (0x28C)
5.183825120000000,USB LS and FS,CRC OK '23' (0x17)
5.183825520000000,USB LS and FS,EOP
5.184822880000000,USB LS and FS,SYNC
5.184823560000000,USB LS and FS,PID SOF
5.184824240000000,USB LS and FS,Frame # '653' (0x28D)
5.184825160000000,USB LS and FS,CRC OK '8' (0x08)
5.184825560000000,USB LS and FS,EOP
5.185822920000000,USB LS and FS,SYNC
5.185823600000000,USB LS and FS,PID SOF
5.185824280000000,USB LS and FS,Frame # '654' (0x28E)
5.185825200000000,USB LS and FS,CRC OK '0' (0x00)
5.185825600000000,USB LS and FS,EOP
5.186823000000000,USB LS and FS,SYNC
5.186823640000000,USB LS and FS,PID SOF
5.186824320000000,USB LS and FS,Frame # '655' (0x28F)
5.186825240000000,USB LS and FS,CRC OK '31' (0x1F)
5.186825680000000,USB LS and FS,EOP
5.187823040000000,USB LS and FS,SYNC
5.187823680000000,USB LS and FS,PID SOF
5.187824360000000,USB LS and FS,Frame # '656' (0x290)
5.187825280000000,USB LS and FS,CRC OK '2' (0x02)
5.187825720000000,USB LS and FS,EOP
5.188823080000000,USB LS and FS,SYNC
5.188823720000000,USB LS and FS,PID SOF
5.188824400000000,USB LS and FS,Frame # '657' (0x291)
5.188825320000000,USB LS and FS,CRC OK '29' (0x1D)
5.188825760000000,USB LS and FS,EOP
5.189823120000000,USB LS and FS,SYNC
5.189823800000000,USB LS and FS,PID SOF
5.189824440000000,USB LS and FS,Frame # '658' (0x292)
5.189825360000000,USB LS and FS,CRC OK '21' (0x15)
5.189825800000000,USB LS and FS,EOP
5.190823200000000,USB LS and FS,SYNC
5.190823840000000,USB LS and FS,PID SOF
5.190824520000000,USB LS and FS,Frame # '659' (0x293)
5.190825440000000,USB LS and FS,CRC OK \n (0x0A)
5.190825840000000,USB LS and FS,EOP
5.191823240000000,USB LS and FS,SYNC
5.191823880000000,USB LS and FS,PID SOF
5.191824560000000,USB LS and FS,Frame # '660' (0x294)
5.191825480000000,USB LS and FS,CRC OK '5' (0x05)
5.191825880000000,USB LS and FS,EOP
5.192823280000000,USB LS and FS,SYNC
5.192823920000000,USB LS and FS,PID SOF
5.192824600000000,USB LS and FS,Frame # '661' (0x295)
5.192825520000000,USB LS and FS,CRC OK '26' (0x1A)
5.192825920000000,USB LS and FS,EOP
5.193823320000000,USB LS and FS,SYNC
5.193823960000000,USB LS and FS,PID SOF
5.193824640000000,USB LS and FS,Frame # '662' (0x296)
5.193825560000000,USB LS and FS,CRC OK '18' (0x12)
5.193825960000000,USB LS and FS,EOP
5.194823360000000,USB LS and FS,SYNC
5.194824040000000,USB LS and FS,PID SOF
5.194824680000000,USB LS and FS,Frame # '663' (0x297)
5.194825600000000,USB LS and FS,CRC OK \r (0x0D)
5.194826040000000,USB LS and FS,EOP
5.195823400000000,USB LS and FS,SYNC
5.195824080000000,USB LS and FS,PID SOF
5.195824720000000,USB LS and FS,Frame # '664' (0x298)
5.195825640000000,USB LS and FS,CRC OK '12' (0x0C)
5.195826080000000,USB LS and FS,EOP
5.196823440000000,USB LS and FS,SYNC
5.196824120000000,USB LS and FS,PID SOF
5.196824760000000,USB LS and FS,Frame # '665' (0x299)
5.196825680000000,USB LS and FS,CRC OK '19' (0x13)
5.196826120000000,USB LS and FS,EOP
5.197823480000000,USB LS and FS,SYNC
5.197824160000000,USB LS and FS,PID SOF
5.197824840000000,USB LS and FS,Frame # '666' (0x29A)
5.197825720000000,USB LS and FS,CRC OK '27' (0x1B)
5.197826160000000,USB LS and FS,EOP
5.198823520000000,USB LS and FS,SYNC
5.198824200000000,USB LS and FS,PID SOF
5.198824840000000,USB LS and FS,Frame # '667' (0x29B)
5.198825760000000,USB LS and FS,CRC OK '4' (0x04)
5.198826200000000,USB LS and FS,EOP
5.199823600000000,USB LS and FS,SYNC
5.199824240000000,USB LS and FS,PID SOF
5.199824920000000,USB LS and FS,Frame # '668' (0x29C)
5.199825840000000,USB LS and FS,CRC OK '11' (0x0B)
5.199826240000000,USB LS and FS,EOP
5.200823640000000,USB LS and FS,SYNC
5.200824280000000,USB LS and FS,PID SOF
5.200824960000000,USB LS and FS,Frame # '669' (0x29D)
5.200825880000000,USB LS and FS,CRC OK '20' (0x14)
5.200826320000000,USB LS and FS,EOP
5.201823680000000,USB LS and FS,SYNC
5.201824320000000,USB LS and FS,PID SOF
5.201825000000000,USB LS and FS,Frame # '670' (0x29E)
5.201825920000000,USB LS and FS,CRC OK '28' (0x1C)
5.201826360000000,USB LS and FS,EOP
5.202823720000000,USB LS and FS,SYNC
5.202824360000000,USB LS and FS,PID SOF
5.202825040000000,USB LS and FS,Frame # '671' (0x29F)
5.202826040000000,USB LS and FS,CRC OK '3' (0x03)
5.202826480000000,USB LS and FS,EOP
5.203823760000000,USB LS and FS,SYNC
5.203824440000000,USB LS and FS,PID SOF
5.203825120000000,USB LS and FS,Frame # '672' (0x2A0)
5.203826000000000,USB LS and FS,CRC OK '15' (0x0F)
5.203826440000000,USB LS and FS,EOP
5.204823800000000,USB LS and FS,SYNC
5.204824480000000,USB LS and FS,PID SOF
5.204825120000000,USB LS and FS,Frame # '673' (0x2A1)
5.204826080000000,USB LS and FS,CRC OK '16' (0x10)
5.204826480000000,USB LS and FS,EOP
5.205823840000000,USB LS and FS,SYNC
5.205824520000000,USB LS and FS,PID SOF
5.205825200000000,USB LS and FS,Frame # '674' (0x2A2)
5.205826120000000,USB LS and FS,CRC OK '24' (0x18)
5.205826520000000,USB LS and FS,EOP
5.206823880000000,USB LS and FS,SYNC
5.206824560000000,USB LS and FS,PID SOF
5.206825240000000,USB LS and FS,Frame # '675' (0x2A3)
5.206826160000000,USB LS and FS,CRC OK '7' (0x07)
5.206826560000000,USB LS and FS,EOP
5.207823960000000,USB LS and FS,SYNC
5.207824600000000,USB LS and FS,PID SOF
5.207825280000000,USB LS and FS,Frame # '676' (0x2A4)
5.207826200000000,USB LS and FS,CRC OK '8' (0x08)
5.207826640000000,USB LS and FS,EOP
5.208824000000000,USB LS and FS,SYNC
5.208824640000000,USB LS and FS,PID SOF
5.208825320000000,USB LS and FS,Frame # '677' (0x2A5)
5.208826240000000,USB LS and FS,CRC OK '23' (0x17)
5.208826680000000,USB LS and FS,EOP
5.209824040000000,USB LS and FS,SYNC
5.209824680000000,USB LS and FS,PID SOF
5.209825360000000,USB LS and FS,Frame # '678' (0x2A6)
5.209826280000000,USB LS and FS,CRC OK '31' (0x1F)
5.209826720000000,USB LS and FS,EOP
5.210824080000000,USB LS and FS,SYNC
5.210824760000000,USB LS and FS,PID SOF
5.210825400000000,USB LS and FS,Frame # '679' (0x2A7)
5.210826320000000,USB LS and FS,CRC OK '0' (0x00)
5.210826760000000,USB LS and FS,EOP
5.211824120000000,USB LS and FS,SYNC
5.211824800000000,USB LS and FS,PID SOF
5.211825440000000,USB LS and FS,Frame # '680' (0x2A8)
5.211826360000000,USB LS and FS,CRC OK '1' (0x01)
5.211826800000000,USB LS and FS,EOP
5.212824200000000,USB LS and FS,SYNC
5.212824840000000,USB LS and FS,PID SOF
5.212825520000000,USB LS and FS,Frame # '681' (0x2A9)
5.212826440000000,USB LS and FS,CRC OK '30' (0x1E)
5.212826840000000,USB LS and FS,EOP
5.213824240000000,USB LS and FS,SYNC
5.213824880000000,USB LS and FS,PID SOF
5.213825560000000,USB LS and FS,Frame # '682' (0x2AA)
5.213826480000000,USB LS and FS,CRC OK '22' (0x16)
5.213826880000000,USB LS and FS,EOP
5.214824280000000,USB LS and FS,SYNC
5.214824920000000,USB LS and FS,PID SOF
5.214825600000000,USB LS and FS,Frame # '683' (0x2AB)
5.214826520000000,USB LS and FS,CRC OK \t (0x09)
5.214826920000000,USB LS and FS,EOP
5.215824320000000,USB LS and FS,SYNC
5.215824960000000,USB LS and FS,PID SOF
5.215825640000000,USB LS and FS,Frame # '684' (0x2AC)
5.215826560000000,USB LS and FS,CRC OK '6' (0x06)
5.215826960000000,USB LS and FS,EOP
5.216824360000000,USB LS and FS,SYNC
5.216825040000000,USB LS and FS,PID SOF
5.216825680000000,USB LS and FS,Frame # '685' (0x2AD)
