Time [s], Analyzer Name, Decoded Protocol Result,,,,,,
0,USB LS and FS,Reset,,,,,,
5.1274778,USB LS and FS,Reset,,,,,,
5.14282096,USB LS and FS,SYNC,,,,,,
5.14282164,USB LS and FS,PID SOF,,,,,,
5.14282228,USB LS and FS,Frame # '611' (0x263),,,,,,
5.1428232,USB LS and FS,CRC OK '26' (0x1A),,,,,,
5.14282364,USB LS and FS,EOP,,,,,,
5.14382104,USB LS and FS,SYNC,,,,,,
5.14382168,USB LS and FS,PID SOF,,,,,,
5.14382236,USB LS and FS,Frame # '612' (0x264),,,,,,
5.14382328,USB LS and FS,CRC OK '21' (0x15),,,,,,
5.14382368,USB LS and FS,EOP,,,,,,
5.14482108,USB LS and FS,SYNC,,,,,,
5.14482176,USB LS and FS,PID SOF,,,,,,
5.1448224,USB LS and FS,Frame # '613' (0x265),,,,,,
5.14482332,USB LS and FS,CRC OK \n (0x0A),,,,,,
5.14482376,USB LS and FS,EOP,,,,,,
5.14582112,USB LS and FS,SYNC,,,,,,
5.1458218,USB LS and FS,PID SOF,,,,,,
5.14582244,USB LS and FS,Frame # '614' (0x266),,,,,,
5.14582336,USB LS and FS,CRC OK '2' (0x02),,,,,,
5.1458238,USB LS and FS,EOP,,,,,,
5.14682116,USB LS and FS,SYNC,,,,,,
5.14682184,USB LS and FS,PID SOF,,,,,,
5.14682248,USB LS and FS,Frame # '615' (0x267),,,,,,
5.1468234,USB LS and FS,CRC OK '29' (0x1D),,,,,,
5.14682384,USB LS and FS,EOP,,,,,,
5.1478212,USB LS and FS,SYNC,,,,,,
5.14782188,USB LS and FS,PID SOF,,,,,,
5.14782252,USB LS and FS,Frame # '616' (0x268),,,,,,
5.14782344,USB LS and FS,CRC OK '28' (0x1C),,,,,,
5.14782388,USB LS and FS,EOP,,,,,,
5.14882128,USB LS and FS,SYNC,,,,,,
5.14882192,USB LS and FS,PID SOF,,,,,,
5.1488226,USB LS and FS,Frame # '617' (0x269),,,,,,
5.14882352,USB LS and FS,CRC OK '3' (0x03),,,,,,
5.14882392,USB LS and FS,EOP,,,,,,
5.14982132,USB LS and FS,SYNC,,,,,,
5.14982196,USB LS and FS,PID SOF,,,,,,
5.14982264,USB LS and FS,Frame # '618' (0x26A),,,,,,
5.14982356,USB LS and FS,CRC OK '11' (0x0B),,,,,,
5.14982396,USB LS and FS,EOP,,,,,,
5.15082136,USB LS and FS,SYNC,,,,,,
5.150822,USB LS and FS,PID SOF,,,,,,
5.15082268,USB LS and FS,Frame # '619' (0x26B),,,,,,
5.1508236,USB LS and FS,CRC OK '20' (0x14),,,,,,
5.150824,USB LS and FS,EOP,,,,,,
5.1518214,USB LS and FS,SYNC,,,,,,
5.15182204,USB LS and FS,PID SOF,,,,,,
5.15182272,USB LS and FS,Frame # '620' (0x26C),,,,,,
5.15182364,USB LS and FS,CRC OK '27' (0x1B),,,,,,
5.15182408,USB LS and FS,EOP,,,,,,
5.15282144,USB LS and FS,SYNC,,,,,,
5.15282212,USB LS and FS,PID SOF,,,,,,
5.15282276,USB LS and FS,Frame # '621' (0x26D),,,,,,
5.15282368,USB LS and FS,CRC OK '4' (0x04),,,,,,
5.15282412,USB LS and FS,EOP,,,,,,
