Time [s],PID,Address,Endpoint,Frame #,Data,CRC
6.345337125,Parsing error,,,,,
6.346337188,Parsing error,,,,,
6.347337125,Parsing error,,,,,
6.348337188,Parsing error,,,,,
6.348337438,Parsing error,,,,,
6.348338063,Parsing error,,,,,
6.34833875,Parsing error,,,,,
6.349337188,Parsing error,,,,,
6.349337313,Parsing error,,,,,
6.349337563,Parsing error,,,,,
6.349338813,Parsing error,,,,,
6.349339688,Parsing error,,,,,
6.349339813,Parsing error,,,,,
6.35033725,Parsing error,,,,,
6.351337313,Parsing error,,,,,
6.352337438,Parsing error,,,,,
6.353337375,Parsing error,,,,,
6.354337438,Parsing error,,,,,
6.3553375,Parsing error,,,,,
6.356337625,SOF,,,0x56E,,0x17
6.357337563,Parsing error,,,,,
6.358337625,Parsing error,,,,,
6.359337688,Parsing error,,,,,
6.359337938,Parsing error,,,,,
6.359338563,Parsing error,,,,,
6.359339063,Parsing error,,,,,
6.359339188,Parsing error,,,,,
6.35934025,Parsing error,,,,,
6.360337688,Parsing error,,,,,
6.360337813,Parsing error,,,,,
6.360338063,Parsing error,,,,,
6.360339188,Parsing error,,,,,
6.360340125,Parsing error,,,,,
6.360340313,Parsing error,,,,,
6.36133775,Parsing error,,,,,
6.361337938,Parsing error,,,,,
6.361338188,Parsing error,,,,,
6.361338688,Parsing error,,,,,
6.36133925,Parsing error,,,,,
6.362337813,Parsing error,,,,,
6.363337938,SOF,,,0x575,,0x0D
6.364337875,Parsing error,,,,,
6.365337938,Parsing error,,,,,
6.366338063,SOF,,,0x578,,0x1B
6.367338125,Parsing error,,,,,
6.368338063,Parsing error,,,,,
6.369338125,Parsing error,,,,,
6.37033825,Parsing error,,,,,
6.371338313,Parsing error,,,,,
6.37233825,Parsing error,,,,,
6.372338688,Parsing error,,,,,
6.372340188,Parsing error,,,,,
6.373338313,Parsing error,,,,,
6.373338563,Parsing error,,,,,
6.373339188,Parsing error,,,,,
6.373340625,Parsing error,,,,,
6.374338313,Parsing error,,,,,
6.374338438,Parsing error,,,,,
6.374338688,Parsing error,,,,,
6.374339688,Parsing error,,,,,
6.374339938,Parsing error,,,,,
6.374340813,Parsing error,,,,,
6.374340938,Parsing error,,,,,
6.375338375,Parsing error,,,,,
6.376338438,Parsing error,,,,,
6.377338563,Parsing error,,,,,
6.3783385,Parsing error,,,,,
6.379338688,Parsing error,,,,,
6.380338625,Parsing error,,,,,
6.38133875,Parsing error,,,,,
6.382338688,Parsing error,,,,,
6.38333875,Parsing error,,,,,
6.384338813,Parsing error,,,,,
6.384339063,Parsing error,,,,,
6.384339688,Parsing error,,,,,
6.384340438,Parsing error,,,,,
6.384340563,Parsing error,,,,,
6.384341063,Parsing error,,,,,
6.385338813,Parsing error,,,,,
6.385338938,Parsing error,,,,,
6.385339188,Parsing error,,,,,
6.38534125,Parsing error,,,,,
6.385341438,Parsing error,,,,,
6.386338875,Parsing error,,,,,
6.386339313,Parsing error,,,,,
6.387338938,Parsing error,,,,,
6.387339188,Parsing error,,,,,
6.387339813,Parsing error,,,,,
6.387340563,Parsing error,,,,,
6.387340688,Parsing error,,,,,
6.388339,Parsing error,,,,,
6.389339,Parsing error,,,,,
