name,type,start_time,duration,value
USB LS and FS,v1frame,6.52434544,1.00E-06,Error packet
USB LS and FS,v1frame,6.52434681,1.25E-07,Error packet
USB LS and FS,v1frame,6.52434694,5.00E-07,Error packet
USB LS and FS,v1frame,6.52434744,5.00E-07,Error packet
USB LS and FS,v1frame,6.52534513,1.87E-07,Error packet
USB LS and FS,v1frame,6.52534531,2.50E-07,Error packet
USB LS and FS,v1frame,6.52534556,5.00E-07,Error packet
USB LS and FS,v1frame,6.52534606,2.50E-07,Error packet
USB LS and FS,v1frame,6.52534688,1.88E-07,Error packet
USB LS and FS,v1frame,6.52534706,8.12E-07,Error packet
USB LS and FS,v1frame,6.52534781,2.50E-07,Error packet
USB LS and FS,v1frame,6.52634519,2.50E-07,Error packet
USB LS and FS,v1frame,6.52634544,2.50E-07,Error packet
USB LS and FS,v1frame,6.52634606,1.25E-07,Error packet
USB LS and FS,v1frame,6.5263465,1.88E-07,Error packet
USB LS and FS,v1frame,6.52634694,2.50E-07,Error packet
USB LS and FS,v1frame,6.52634775,2.50E-07,Error packet
USB LS and FS,v1frame,6.52734519,1.25E-07,Error packet
USB LS and FS,v1frame,6.52734531,2.50E-07,Error packet
USB LS and FS,v1frame,6.52734556,1.50E-06,Error packet
USB LS and FS,v1frame,6.52734706,5.00E-07,Error packet
USB LS and FS,v1frame,6.52734756,4.38E-07,Error packet
USB LS and FS,v1frame,6.52834525,2.81E-06,Error packet
USB LS and FS,v1frame,6.52934531,2.81E-06,Error packet
USB LS and FS,v1frame,6.53004825,2.75E-06,Error packet
USB LS and FS,v1frame,6.53005156,8.19E-06,Error packet
USB LS and FS,v1frame,6.53006031,5.63E-07,SYNC
USB LS and FS,v1frame,6.53006088,6.88E-07,PID ACK
USB LS and FS,v1frame,6.53006156,1.88E-07,EOP
USB LS and FS,v1frame,6.53014681,2.81E-06,Error packet
USB LS and FS,v1frame,6.53015012,1.50E-06,Error packet
USB LS and FS,v1frame,6.53034544,2.75E-06,Error packet
USB LS and FS,v1frame,6.53134537,2.81E-06,Error packet
USB LS and FS,v1frame,6.53136681,2.81E-06,Error packet
USB LS and FS,v1frame,6.53137019,2.81E-06,Error packet
USB LS and FS,v1frame,6.53137356,5.00E-07,Error packet
USB LS and FS,v1frame,6.53137438,6.25E-07,Error packet
USB LS and FS,v1frame,6.53234544,2.81E-06,Error packet
USB LS and FS,v1frame,6.5333455,1.75E-06,Error packet
USB LS and FS,v1frame,6.53334725,1.13E-06,Error packet
USB LS and FS,v1frame,6.53434563,2.75E-06,Error packet
USB LS and FS,v1frame,6.53534556,2.81E-06,Error packet
USB LS and FS,v1frame,6.53634563,2.81E-06,Error packet
USB LS and FS,v1frame,6.53734569,2.50E-07,Error packet
USB LS and FS,v1frame,6.53734594,2.56E-06,Error packet
USB LS and FS,v1frame,6.53834569,1.25E-07,Error packet
USB LS and FS,v1frame,6.53834581,2.50E-07,Error packet
USB LS and FS,v1frame,6.53834606,1.00E-06,Error packet
USB LS and FS,v1frame,6.53834706,2.50E-07,Error packet
USB LS and FS,v1frame,6.53834731,2.50E-07,Error packet
USB LS and FS,v1frame,6.53834756,7.50E-07,Error packet
USB LS and FS,v1frame,6.53834831,2.50E-07,Error packet
USB LS and FS,v1frame,6.53934575,1.88E-07,Error packet
USB LS and FS,v1frame,6.53934594,2.50E-07,Error packet
USB LS and FS,v1frame,6.53934619,5.00E-07,Error packet
USB LS and FS,v1frame,6.53934669,2.50E-07,Error packet
USB LS and FS,v1frame,6.53934731,1.25E-07,Error packet
USB LS and FS,v1frame,6.53934756,1.25E-07,Error packet
USB LS and FS,v1frame,6.53934769,8.75E-07,Error packet
USB LS and FS,v1frame,6.54034581,2.50E-07,Error packet
USB LS and FS,v1frame,6.54034606,2.50E-07,Error packet
USB LS and FS,v1frame,6.54034669,1.25E-07,Error packet
USB LS and FS,v1frame,6.54034737,4.38E-07,Error packet
USB LS and FS,v1frame,6.54134594,2.75E-06,Error packet
USB LS and FS,v1frame,6.54234587,2.81E-06,Error packet
USB LS and FS,v1frame,6.54334594,2.81E-06,Error packet
USB LS and FS,v1frame,6.54434606,2.75E-06,Error packet
USB LS and FS,v1frame,6.54534613,5.63E-07,SYNC
USB LS and FS,v1frame,6.54534669,6.88E-07,PID SOF
USB LS and FS,v1frame,6.54534738,8.75E-07,Frame # 0x62B
USB LS and FS,v1frame,6.54534825,4.38E-07,CRC OK 0x0B
USB LS and FS,v1frame,6.54534869,2.50E-07,EOP
USB LS and FS,v1frame,6.54634606,2.81E-06,Error packet
USB LS and FS,v1frame,6.54734612,2.81E-06,Error packet
USB LS and FS,v1frame,6.54834625,5.63E-07,SYNC
USB LS and FS,v1frame,6.54834681,6.88E-07,PID SOF
USB LS and FS,v1frame,6.5483475,8.75E-07,Frame # 0x62E
USB LS and FS,v1frame,6.54834837,4.38E-07,CRC OK 0x13
USB LS and FS,v1frame,6.54834881,2.50E-07,EOP
USB LS and FS,v1frame,6.54934625,5.00E-07,Error packet
USB LS and FS,v1frame,6.54934712,1.94E-06,Error packet
USB LS and FS,v1frame,6.55034625,1.88E-07,Error packet
USB LS and FS,v1frame,6.55034644,2.50E-07,Error packet
USB LS and FS,v1frame,6.55034669,5.00E-07,Error packet
USB LS and FS,v1frame,6.55034719,2.50E-07,Error packet
USB LS and FS,v1frame,6.55034756,1.25E-07,Error packet
USB LS and FS,v1frame,6.55034769,5.00E-07,Error packet
USB LS and FS,v1frame,6.55034819,5.00E-07,Error packet
USB LS and FS,v1frame,6.55034869,3.75E-07,Error packet
USB LS and FS,v1frame,6.55134631,2.50E-07,Error packet
USB LS and FS,v1frame,6.55134656,2.50E-07,Error packet
USB LS and FS,v1frame,6.55134719,1.25E-07,Error packet
USB LS and FS,v1frame,6.55134769,1.25E-07,Error packet
USB LS and FS,v1frame,6.55134781,5.00E-07,Error packet
USB LS and FS,v1frame,6.55134888,2.50E-07,Error packet
USB LS and FS,v1frame,6.55234631,1.25E-07,Error packet
USB LS and FS,v1frame,6.55234644,2.50E-07,Error packet
USB LS and FS,v1frame,6.55234669,1.00E-06,Error packet
USB LS and FS,v1frame,6.55234781,1.25E-07,Error packet
USB LS and FS,v1frame,6.55234819,7.50E-07,Error packet
USB LS and FS,v1frame,6.55234894,1.88E-07,Error packet
USB LS and FS,v1frame,6.55334638,1.88E-07,Error packet
USB LS and FS,v1frame,6.55334656,7.50E-07,Error packet
USB LS and FS,v1frame,6.55334731,2.50E-07,Error packet
USB LS and FS,v1frame,6.55334788,4.38E-07,Error packet
USB LS and FS,v1frame,6.55334831,5.00E-07,Error packet
USB LS and FS,v1frame,6.55434644,2.81E-06,Error packet
USB LS and FS,v1frame,6.55534656,2.75E-06,Error packet
USB LS and FS,v1frame,6.5563465,2.81E-06,Error packet
USB LS and FS,v1frame,6.55734656,2.81E-06,Error packet
USB LS and FS,v1frame,6.55834663,2.88E-06,Error packet
USB LS and FS,v1frame,6.55934675,2.75E-06,Error packet
USB LS and FS,v1frame,6.56002581,3.75E-07,Error packet
USB LS and FS,v1frame,6.56002619,1.75E-06,Error packet
USB LS and FS,v1frame,6.56002794,2.50E-07,Error packet
USB LS and FS,v1frame,6.56002819,4.38E-07,Error packet
USB LS and FS,v1frame,6.56002925,1.88E-07,Error packet
USB LS and FS,v1frame,6.56002944,7.50E-07,Error packet
USB LS and FS,v1frame,6.56003019,1.81E-06,Error packet
USB LS and FS,v1frame,6.56003194,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003219,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003244,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003269,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003294,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003319,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003344,2.50E-07,Error packet
USB LS and FS,v1frame,6.56003369,5.00E-07,Error packet
USB LS and FS,v1frame,6.56003419,1.00E-06,Error packet
USB LS and FS,v1frame,6.56003519,2.50E-07,Error packet
